id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other
4209,71.66,2015,3091,356.53,0,483.3333333,1042.971414,253.3333333,8,196,220,0,360,25,685,3630.168081,3273.638081
44914,101.66,2015,1196.003174,688.5298897,0,0,20,0,0,0,0,0,2.49999994,0,0,711.0298896,22.49999994
39914,82.68,2015,19940.36328,1266.55,0,1802.566667,1500.47053,195.8,76,2225,500,0,623.3333435,53.69999886,253.8,8497.220539,7230.670539
11411,145.83,2015,3008.370361,693.3140207,38.7624,0,300,0,2.5,60,100,0,2.5,0,0,1197.076421,503.7624
20814,98.42,2015,1815.20105,455.15,0,25,370,65.9,9,416,342,0,167.5,0,283.9,2134.45,1679.3
37305,69.79,2015,50000,389.57,895.68,0,900,0,83.33333588,12.91666698,400,1828,0,279.4000015,0,4788.900004,4399.330004
31010,87.66,2015,1516.401367,431.16,1033.664,229.5833333,0,0.6,13.5,198,0,0,60.9166677,20,974,2961.424001,2530.264001
59406,70.49,2015,4261.946777,539.8533522,0,708.3333333,2593.865421,0,83.75,1317,80,323.3333333,32.91666794,0,120,5799.052108,5259.198756
25015,66.39,2015,9790.916992,382.68,0,750,66.66666412,25,291.6666667,816.2500003,705.7142792,0,0,0,1200,4237.97761,3855.29761
15514,149.19,2015,3037.969971,434.35,0,0,225,0,0,60,80,0,18.16666603,0,54,871.516666,437.166666
1212,77.62,2015,2078.983887,356.53,0,583.3333333,80,0,0,2985.833333,320,841.6666667,0,49,411.9,5628.263333,5271.733333
50809,90.39,2015,3194.603271,421.87,0,0,0,0,0,0,56,0,0,96,0,573.87,152
53408,86.97,2015,1031.096191,439.34,0,0,0,0,0,0,0,0,0,0,0,439.34,0
4602,84.14,2015,7815.363281,422.9932726,0,550,150,0,0,560,100,37.5,114.5833359,62,0,1997.076609,1574.083336
4408,75.57,2015,500,356.53,0,133.3333333,50,148,0,0,150,0,0,0,1256,2093.863333,1737.333333
9414,77.21,2015,20208.2793,557,0,1583.333333,400,816.7333333,89.9,1212.916667,900,430,758.75,315.7999954,405.8,7470.233329,6913.233329
39204,77.04,2015,1211.839966,572.93,0,0,283.3333321,0,122.8333333,0,400,0,157.5833321,0,30,1566.679998,993.7499975
21805,84.07,2015,6983.333496,308.06,0,625,200,198.4666667,0,1233.333332,200,0,0,77,843.6,3685.459999,3377.399999
15608,57.75,2015,2084.194824,465.6104355,264.8764,83.33333333,120,0,0,200,200,0,110,0,0,1443.820169,978.2097333
3602,74.91,2015,1395.726685,505.15,315.682,104.3333333,122,23.9,0,28,480,291.6666667,506.6666641,120,50,2547.398664,2042.248664
35011,80.85,2015,1510.166626,661.2359627,0,233.3333333,0,10,0,200,40,52.5,0,46,20,1263.069296,601.8333333
41911,80.74,2015,1184.259033,412.13,0,145.8333333,70,80,0,32,186,0,0,26,2642.666626,3594.629959,3182.499959
53209,52.46,2015,5109.75,439.34,1247.7192,133.3333333,245,0,0,4810.833333,200,0,0,616,0,7692.225866,7252.885866
35004,80.85,2015,69.33332825,389.57,268.1066,116.25,20,0,0,32,40,58.33333333,0,60,96,1080.259933,690.6899333
49301,171.08,2015,10875,382.36,0,0,0,59.8,16,528,400,0,0,32,137.9,1556.06,1173.7
15404,104.01,2015,5900,361.8567862,0,50,100,0,0,392,120,0,124.3333302,184,1040,2372.190116,2010.33333
10614,81.49,2015,1562.403564,346.28,31.3488,141.6666667,0,70,0,40,100,0,9.583333015,0,0,738.8787997,392.5987997
23409,59.61,2015,185.2234039,329.2,0,8.333333333,80,0,11,0,40,0,12.5,0,35,516.0333333,186.8333333
13103,81.54,2015,1073.946655,440.55,0,0,5550,399,0,1944,940,16.66666667,263.5,10,1593.8,11157.51667,10716.96667
30413,81.57,2015,973.8869629,456.7326479,0,0,6.666666508,13.9,4,0,80,0,23.50000048,14,43.9,642.6993149,185.966667
40102,74.34,2015,13886.36328,413.83,194.8104,383.3333333,0,0,341.3333333,2282,40,0,120.8333359,46.79999924,0,3822.940402,3409.110402
53503,99.27,2015,1192.568237,489.3483449,678.72,10.83333333,30,0,3.599999905,0,0,0,0,0,5,1217.501678,728.1533332
