id_n,weight,Year,GROSS_INCOME,CONS_Food,CONS_Alcohol_Tobacco,CONS_Clothing_Footwear,CONS_Housing,CONS_Hhold_Goods_Services,CONS_Health,CONS_Transport,CONS_Communication,CONS_Recreation_Culture,CONS_Education,CONS_Restaurants_Hotels,CONS_Miscellaneous,CONS_Total,CONS_Other,'CONS_Food
3106,61.82,2015,255266.71872,526.2087492,0.0,3999.9999995999997,4800.0,0.0,19350.0,41010.0,14400.0,7200.0,46149.999024,0.0,0.0,137436.2077728,136909.9990236,6314.504990400001
15306,145.03,2015,25950.0,361.46,564.2784,0.0,0.0,0.0,0.0,0.0,480.0,0.0,0.0,886.80001836,0.0,2292.53841836,1931.0784183600001,4337.5199999999995
402,78.8,2015,29199.999023999997,543.7400022,0.0,0.0,3180.0,1440.0,0.0,1920.0,2880.0,500.00000004,349.99999235999996,0.0,14160.0,24973.7399946,24429.9999924,6524.8800264
4914,70.04,2015,96130.968756,383.1136008,0.0,0.0,0.0,11400.0,2000.0000004,16800.0,19200.0,8160.0,349.99999235999996,0.0,0.0,58293.11359356,57909.99999276,4597.3632096
16101,74.52,2015,52000.001952000006,493.45,0.0,2300.0000004000003,1200.0,262.79999999999995,0.0,1680.0,2880.0,0.0,0.0,6960.0,1699.1999999999998,17475.4500004,16982.0000004,5921.4
31315,87.12,2015,6030.6859128,470.9264741,0.0,240.0,8012.000244000001,0.0,0.0,0.0,0.0,0.0,2961.9999384000002,0.0,0.0,11684.926656500002,11214.000182400001,5651.1176892
59003,82.57,2015,25596.547848000002,547.66,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,2.000000064,0.0,0.0,609.660000064,62.000000064,6571.92
18104,94.98,2015,14400.0,361.46,0.0,450.0,360.0,0.0,36.0,11424.0,4800.0,2000.0000004,0.0,0.0,1968.0,21399.4600004,21038.0000004,4337.5199999999995
40615,46.89,2015,570554.71872,553.9985701,0.0,20000.000004,0.0,41000.000004,8208.0,69874.99998,20400.0,16320.0,2848.9999692,3694.800018,0.0,182900.7985453,182346.7999752,6647.982841200001
29014,102.94,2015,11187.0241704,312.33,0.0,1250.0000003999999,0.0,238.79999999999998,0.0,0.0,0.0,0.0,75.0,0.0,1086.0,2962.1300003999995,2649.8000003999996,3747.96
